"filename", "language", "JavaScript", "CSS", "XML", "HTML", "comment", "blank", "total"
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\themes\krishsatasiya\js\owl.carousel.min.js", "JavaScript", 2045, 0, 0, 0, 5, 5, 2055
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\themes\krishsatasiya\js\theme.js", "JavaScript", 685, 0, 0, 0, 22, 58, 765
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\themes\krishsatasiya\js\tilt.jquery.min.js", "JavaScript", 298, 0, 0, 0, 0, 1, 299
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\themes\krishsatasiya\js\woo.js", "JavaScript", 319, 0, 0, 0, 31, 20, 370
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\uploads\elementor\css\custom-frontend.min.css", "CSS", 0, 7798, 0, 0, 0, 1, 7799
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\uploads\elementor\css\post-6.css", "CSS", 0, 47, 0, 0, 0, 1, 48
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-content\uploads\elementor\css\post-7674.css", "CSS", 0, 3029, 0, 0, 0, 1, 3030
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\css\dist\block-library\style.min.css", "CSS", 0, 4353, 0, 0, 10, 1, 4364
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\js\jquery\jquery-migrate.min.js", "JavaScript", 861, 0, 0, 0, 1, 1, 863
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\js\jquery\jquery.min.js", "JavaScript", 5405, 0, 0, 0, 1, 2, 5408
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\js\jquery\ui\core.min.js", "JavaScript", 982, 0, 0, 0, 103, 1, 1086
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\js\mediaelement\mediaelement-and-player.min.js", "JavaScript", 8743, 0, 0, 0, 11, 8, 8762
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\js\mediaelement\mediaelement-migrate.min.js", "JavaScript", 55, 0, 0, 0, 0, 1, 56
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\js\mediaelement\mediaelementplayer-legacy.min.css", "CSS", 0, 664, 0, 0, 0, 1, 665
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\js\mediaelement\renderers\vimeo.min.js", "JavaScript", 419, 0, 0, 0, 11, 1, 431
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\js\mediaelement\wp-mediaelement.min.css", "CSS", 0, 238, 0, 0, 0, 1, 239
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\js\mediaelement\wp-mediaelement.min.js", "JavaScript", 68, 0, 0, 0, 0, 1, 69
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\js\underscore.min.js", "JavaScript", 1294, 0, 0, 0, 1, 1, 1296
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\js\wp-emoji-release.min.js", "JavaScript", 312, 0, 0, 0, 3, 2, 317
"d:\Websites\adorable-capybara-ce7e7f.netlify.app\wp-includes\js\wp-util.min.js", "JavaScript", 75, 0, 0, 0, 1, 1, 77
"Total", "-", 39286, 65867, 1, 11362, 589, 3167, 120272
